"OldTable","OldColumn","LegacyDataType","NewTable","NewColumn","TargetAvailability","TransformationRule","MandatoryDefaultRule","HistoryStrategy","MigrationDependency","MappingConfidence","Notes"
"AIS_T_AU_POST_COMPLIANCE","COM_ID","NUMBER","tbl_compliance_case","compliance_case_id","ExistingTableExistingColumn","Preserve compliance-case surrogate via crosswalk.","Use IAS_ZTBL default if legacy value is null.","CurrentState","Requires tbl_entity migration and entity-code crosswalk.","High","Current compliance case."
"AIS_T_AU_POST_COMPLIANCE","OLD_PARA_ID","NUMBER","tbl_compliance_case","compliance_case_id","ExistingTableExistingColumn","Direct copy after datatype coercion and audit-column normalization.","Use IAS_ZTBL default if legacy value is null.","CurrentState","Requires tbl_entity migration and entity-code crosswalk.","Medium","Current compliance case."
"AIS_T_AU_POST_COMPLIANCE","NEW_PARA_ID","NUMBER","tbl_compliance_case","observation_id","ExistingTableExistingColumn","Link current para to migrated observation.","Use IAS_ZTBL default if legacy value is null.","CurrentState","Requires tbl_entity migration and entity-code crosswalk.","High","Current compliance case."
"AIS_T_AU_POST_COMPLIANCE","AUDIT_PERIOD","VARCHAR2","tbl_compliance_case","REVIEW_REQUIRED","ExistingTableRequiredColumn","Manual mapping required; no safe automatic target column was inferred.","Use IAS_ZTBL default if legacy value is null.","CurrentState","Requires tbl_entity migration and entity-code crosswalk.","Low","Current compliance case."
"AIS_T_AU_POST_COMPLIANCE","ENTITY_ID","NUMBER","tbl_compliance_case","responsible_entity_id","ExistingTableExistingColumn","Direct copy after datatype coercion and audit-column normalization.","Use IAS_ZTBL default if legacy value is null.","CurrentState","Requires tbl_entity migration and entity-code crosswalk.","High","Current compliance case."
"AIS_T_AU_POST_COMPLIANCE","ENTITY_CODE","NUMBER","tbl_compliance_case","REVIEW_REQUIRED","ExistingTableRequiredColumn","Manual mapping required; no safe automatic target column was inferred.","Use IAS_ZTBL default if legacy value is null.","CurrentState","Requires tbl_entity migration and entity-code crosswalk.","Low","Current compliance case."
"AIS_T_AU_POST_COMPLIANCE","AUDITED_BY","NUMBER","tbl_compliance_case","REVIEW_REQUIRED","ExistingTableRequiredColumn","Manual mapping required; no safe automatic target column was inferred.","Use IAS_ZTBL default if legacy value is null.","CurrentState","Requires tbl_entity migration and entity-code crosswalk.","Low","Current compliance case."
"AIS_T_AU_POST_COMPLIANCE","ENTITY_TYPE_ID","NUMBER","tbl_compliance_case","compliance_case_id","ExistingTableExistingColumn","Direct copy after datatype coercion and audit-column normalization.","Use IAS_ZTBL default if legacy value is null.","CurrentState","Requires tbl_entity migration and entity-code crosswalk.","Medium","Current compliance case."
"AIS_T_AU_POST_COMPLIANCE","COM_CYCLE","NUMBER","tbl_compliance_case","compliance_cycle_no","ExistingTableExistingColumn","Direct copy after datatype coercion and audit-column normalization.","Use IAS_ZTBL default if legacy value is null.","CurrentState","Requires tbl_entity migration and entity-code crosswalk.","High","Current compliance case."
"AIS_T_AU_POST_COMPLIANCE","COM_STATUS","NUMBER","tbl_compliance_case","compliance_status_id","ExistingTableExistingColumn","Map via compliance status normalization register.","Use IAS_ZTBL default if legacy value is null.","CurrentState","Requires tbl_entity migration and entity-code crosswalk.","High","Current compliance case."
"AIS_T_AU_POST_COMPLIANCE","COM_STAGE","NUMBER","tbl_compliance_case","compliance_stage_id","ExistingTableExistingColumn","Map via compliance stage normalization register.","Use IAS_ZTBL default if legacy value is null.","CurrentState","Requires tbl_entity migration and entity-code crosswalk.","High","Current compliance case."
"AIS_T_AU_POST_COMPLIANCE","PARA_STATUS","NUMBER","tbl_compliance_case","REVIEW_REQUIRED","ExistingTableRequiredColumn","Manual mapping required; no safe automatic target column was inferred.","Use IAS_ZTBL default if legacy value is null.","CurrentState","Requires tbl_entity migration and entity-code crosswalk.","Low","Current compliance case."
"AIS_T_AU_POST_COMPLIANCE","PARA_NO","VARCHAR2","tbl_compliance_case","legacy_para_no","ExistingTableRequiredColumn","Add legacy_para_no on tbl_compliance_case for migration traceability.","Use IAS_ZTBL default if legacy value is null.","CurrentState","Requires tbl_entity migration and entity-code crosswalk.","Medium","Current compliance case."
"AIS_T_AU_POST_COMPLIANCE","GIST_OF_PARAS","VARCHAR2","tbl_compliance_case","gist_text","ExistingTableRequiredColumn","Add gist_text column to tbl_compliance_case or stage into tbl_compliance_action with action_type=SUMMARY.","Use IAS_ZTBL default if legacy value is null.","CurrentState","Requires tbl_entity migration and entity-code crosswalk.","Medium","Current compliance case."
"AIS_T_AU_POST_COMPLIANCE","SETTELED_ON","DATE","tbl_compliance_case","closed_on","ExistingTableExistingColumn","Treat settled-on as closure date when case is terminal.","Use IAS_ZTBL default if legacy value is null.","CurrentState","Requires tbl_entity migration and entity-code crosswalk.","Medium","Current compliance case."
"AIS_T_AU_POST_COMPLIANCE","SETTELED_BY","NUMBER","tbl_compliance_case","approved_by","ExistingTableExistingColumn","Resolve settlement approver to tbl_user.user_id.","Use IAS_ZTBL default if legacy value is null.","CurrentState","Requires tbl_user migration and PPNO-to-user_id crosswalk.","Medium","Current compliance case."
"AIS_T_AU_POST_COMPLIANCE","IND","VARCHAR2","tbl_compliance_case","REVIEW_REQUIRED","ExistingTableRequiredColumn","Manual mapping required; no safe automatic target column was inferred.","Use IAS_ZTBL default if legacy value is null.","CurrentState","Requires tbl_entity migration and entity-code crosswalk.","Low","Current compliance case."
"AIS_T_AU_POST_COMPLIANCE","PARA_ADDED_ON","DATE","tbl_compliance_case","REVIEW_REQUIRED","ExistingTableRequiredColumn","Manual mapping required; no safe automatic target column was inferred.","Use IAS_ZTBL default if legacy value is null.","CurrentState","Requires tbl_entity migration and entity-code crosswalk.","Low","Current compliance case."
"AIS_T_AU_POST_COMPLIANCE","CAU_STATUS","NUMBER","tbl_compliance_case","REVIEW_REQUIRED","ExistingTableRequiredColumn","Manual mapping required; no safe automatic target column was inferred.","Use IAS_ZTBL default if legacy value is null.","CurrentState","Requires tbl_entity migration and entity-code crosswalk.","Low","Current compliance case."
"AIS_T_AU_POST_COMPLIANCE","CAU_ASSIGNED_ENT_ID","NUMBER","tbl_compliance_case","compliance_case_id","ExistingTableExistingColumn","Direct copy after datatype coercion and audit-column normalization.","Use IAS_ZTBL default if legacy value is null.","CurrentState","Requires tbl_entity migration and entity-code crosswalk.","Medium","Current compliance case."
"AIS_T_AU_POST_COMPLIANCE","BR_RESPONSE_BY","NUMBER","tbl_compliance_case","REVIEW_REQUIRED","ExistingTableRequiredColumn","Manual mapping required; no safe automatic target column was inferred.","Use IAS_ZTBL default if legacy value is null.","CurrentState","Requires tbl_entity migration and entity-code crosswalk.","Low","Current compliance case."
"AIS_T_AU_POST_COMPLIANCE","BR_RESPONSE_ON","DATE","tbl_compliance_case","REVIEW_REQUIRED","ExistingTableRequiredColumn","Manual mapping required; no safe automatic target column was inferred.","Use IAS_ZTBL default if legacy value is null.","CurrentState","Requires tbl_entity migration and entity-code crosswalk.","Low","Current compliance case."
"AIS_T_AU_POST_COMPLIANCE","CAU_ASSIGNED_BY","NUMBER","tbl_compliance_case","REVIEW_REQUIRED","ExistingTableRequiredColumn","Manual mapping required; no safe automatic target column was inferred.","Use IAS_ZTBL default if legacy value is null.","CurrentState","Requires tbl_entity migration and entity-code crosswalk.","Low","Current compliance case."
"AIS_T_AU_POST_COMPLIANCE","CAU_ASSIGNED_ON","DATE","tbl_compliance_case","REVIEW_REQUIRED","ExistingTableRequiredColumn","Manual mapping required; no safe automatic target column was inferred.","Use IAS_ZTBL default if legacy value is null.","CurrentState","Requires tbl_entity migration and entity-code crosswalk.","Low","Current compliance case."
"AIS_T_AU_POST_COMPLIANCE","SETTLEMENT_COM_REVIEWED_BY","NUMBER","tbl_compliance_case","approved_by","ExistingTableExistingColumn","Resolve reviewer/approver to tbl_user.user_id.","Use IAS_ZTBL default if legacy value is null.","CurrentState","Requires tbl_user migration and PPNO-to-user_id crosswalk.","Medium","Current compliance case."
"AIS_T_AU_POST_COMPLIANCE","SETTLEMENT_COM_REVIEWED_ON","DATE","tbl_compliance_case","approved_on","ExistingTableExistingColumn","Direct copy after datatype coercion and audit-column normalization.","Use IAS_ZTBL default if legacy value is null.","CurrentState","Requires tbl_entity migration and entity-code crosswalk.","Medium","Current compliance case."
"AIS_T_AU_POST_COMPLIANCE","RISK","NUMBER","tbl_compliance_case","REVIEW_REQUIRED","ExistingTableRequiredColumn","Manual mapping required; no safe automatic target column was inferred.","Use IAS_ZTBL default if legacy value is null.","CurrentState","Requires tbl_entity migration and entity-code crosswalk.","Low","Current compliance case."
"AIS_T_AU_POST_COMPLIANCE","ANNEX","NUMBER","tbl_compliance_case","REVIEW_REQUIRED","ExistingTableRequiredColumn","Manual mapping required; no safe automatic target column was inferred.","Use IAS_ZTBL default if legacy value is null.","CurrentState","Requires tbl_entity migration and entity-code crosswalk.","Low","Current compliance case."
"AIS_T_AU_POST_COMPLIANCE","NO_OF_INSTANCES","NUMBER","tbl_compliance_case","instance_count","ExistingTableRequiredColumn","Add instance_count to compliance case.","Use IAS_ZTBL default if legacy value is null.","CurrentState","Requires tbl_entity migration and entity-code crosswalk.","Medium","Current compliance case."
