JS file,View/layout using it,JS function/event,API URL,HTTP method,Controller/action,Controller parameters,JS parameters,DBConnection method,Package/procedure,Package spec exists,Package body exists,DB hardening,Status,Issue found,Recommended fix
AIS\wwwroot\js\csp\Views_AdministrationPanel_api_master.js:105,AIS\Views\AdministrationPanel\api_master.cshtml:114,loadControllerOptions,/Administration/ApiMaster/ControllerOptions,GET,ApiMaster.ControllerOptions,,,GetApiMasterControllerNames,PKG_AD.P_GET_ALL_CONTROLLER,Yes,Yes,StoredProcedure=Yes; BindByName=Yes; Guard=No; UsingCon=Yes; UsingCmd=Yes; UsingReader=Yes; SessionBeforeConnection=N/A,Broken,DBConnection hardening missing: GuardAgainstDynamicSql(cmd),Add the missing DBConnection hardening statements around the OracleCommand.
AIS\wwwroot\js\csp\Views_AdministrationPanel_api_master.js:185,AIS\Views\AdministrationPanel\api_master.cshtml:114,loadApiMasterList,/Administration/ApiMaster/List,GET,ApiMaster.List,,,GetApiMasterList,PKG_AD.P_GET_API_MASTER,Yes,Yes,StoredProcedure=Yes; BindByName=Yes; Guard=No; UsingCon=Yes; UsingCmd=Yes; UsingReader=Yes; SessionBeforeConnection=N/A,Broken,DBConnection hardening missing: GuardAgainstDynamicSql(cmd),Add the missing DBConnection hardening statements around the OracleCommand.
AIS\wwwroot\js\csp\Views_AdministrationPanel_api_master.js:367,AIS\Views\AdministrationPanel\api_master.cshtml:114,saveApiMaster,/Administration/ApiMaster/Save,POST,ApiMaster.Save,request,,MaintainApiMaster,PKG_AD.P_MAINT_API_MASTER,Yes,Yes,StoredProcedure=Yes; BindByName=Yes; Guard=No; UsingCon=Yes; UsingCmd=Yes; UsingReader=Yes; SessionBeforeConnection=N/A,Broken,DBConnection hardening missing: GuardAgainstDynamicSql(cmd),Add the missing DBConnection hardening statements around the OracleCommand.
AIS\wwwroot\js\csp\Views_AdministrationPanel_api_master.js:408,AIS\Views\AdministrationPanel\api_master.cshtml:114,disableApiMaster,/Administration/ApiMaster/Save,POST,ApiMaster.Save,request,,MaintainApiMaster,PKG_AD.P_MAINT_API_MASTER,Yes,Yes,StoredProcedure=Yes; BindByName=Yes; Guard=No; UsingCon=Yes; UsingCmd=Yes; UsingReader=Yes; SessionBeforeConnection=N/A,Broken,DBConnection hardening missing: GuardAgainstDynamicSql(cmd),Add the missing DBConnection hardening statements around the OracleCommand.
AIS\wwwroot\js\csp\Views_AdministrationPanel_audit_criteria.js:62,AIS\Views\AdministrationPanel\audit_criteria.cshtml:12,publishBranchChanges,/Setup/branch_add,POST,Setup.branch_add,br,"BRANCHCODE, BRANCHID, BRANCHNAME, BRANCH_SIZE, BRANCH_SIZE_ID, ISACTIVE, ZONEID, ZONE_NAME",AddBranch,,,,,Broken,Controller calls a DBConnection method that is not active or not indexed. | Controller uses complex model binding; JS data keys require model-level verification.,Confirm JS data keys match the bound request/model properties. | Restore active DBConnection method or redirect controller to the replacement method.
AIS\wwwroot\js\csp\Views_AdministrationPanel_audit_criteria.js:62,AIS\Views\AdministrationPanel\audit_criteria.cshtml:12,publishBranchChanges,/Setup/branch_add,POST,Setup.branch_add,br,"BRANCHCODE, BRANCHID, BRANCHNAME, BRANCH_SIZE, BRANCH_SIZE_ID, ISACTIVE, ZONEID, ZONE_NAME",UpdateBranch,,,,,Broken,Controller calls a DBConnection method that is not active or not indexed. | Controller uses complex model binding; JS data keys require model-level verification.,Confirm JS data keys match the bound request/model properties. | Restore active DBConnection method or redirect controller to the replacement method.
AIS\wwwroot\js\csp\Views_AdministrationPanel_authorize_audit_checklist.js:53,AIS\Views\AdministrationPanel\authorize_audit_checklist.cshtml:168,finalRecommendProcessTransaction,/Setup/recommend_process_transaction_by_authorizer,POST,,,"COMMENTS, T_ID",,,,,,Broken,API URL does not map to an active controller action.,Correct the JS endpoint or add/restore an active controller action only if this flow is still used.
AIS\wwwroot\js\csp\Views_AdministrationPanel_dashboard_layout.js:14,AIS\Views\AdministrationPanel\dashboard_layout.cshtml:88,loadDashboardLayout,/Administration/DashboardLayout/GetByRole,GET,DashboardLayout.GetByRole,roleId,roleId,GetRoleDashboardConfig,PKG_AD.P_GET_ROLE_DASHBOARD_CONFIG,Yes,Yes,StoredProcedure=Yes; BindByName=Yes; Guard=No; UsingCon=Yes; UsingCmd=Yes; UsingReader=Yes; SessionBeforeConnection=N/A,Broken,DBConnection hardening missing: GuardAgainstDynamicSql(cmd),Add the missing DBConnection hardening statements around the OracleCommand.
AIS\wwwroot\js\csp\Views_AdministrationPanel_dashboard_layout.js:38,AIS\Views\AdministrationPanel\dashboard_layout.cshtml:88,loadAvailableDashboardPages,/Administration/DashboardLayout/GetAvailablePages,GET,DashboardLayout.GetAvailablePages,roleId,roleId,GetRoleDashboardConfig,PKG_AD.P_GET_ROLE_DASHBOARD_CONFIG,Yes,Yes,StoredProcedure=Yes; BindByName=Yes; Guard=No; UsingCon=Yes; UsingCmd=Yes; UsingReader=Yes; SessionBeforeConnection=N/A,Broken,DBConnection hardening missing: GuardAgainstDynamicSql(cmd),Add the missing DBConnection hardening statements around the OracleCommand.
AIS\wwwroot\js\csp\Views_AdministrationPanel_dashboard_layout.js:38,AIS\Views\AdministrationPanel\dashboard_layout.cshtml:88,loadAvailableDashboardPages,/Administration/DashboardLayout/GetAvailablePages,GET,DashboardLayout.GetAvailablePages,roleId,roleId,GetRoleDashboardPages,PKG_AD.P_GET_ROLE_DASHBOARD_PAGES,Yes,Yes,StoredProcedure=Yes; BindByName=Yes; Guard=No; UsingCon=Yes; UsingCmd=Yes; UsingReader=Yes; SessionBeforeConnection=N/A,Broken,DBConnection hardening missing: GuardAgainstDynamicSql(cmd),Add the missing DBConnection hardening statements around the OracleCommand.
