"Domain","LegacySource","LookupTypeCode","LookupCode","LookupName","SortOrder","MigrationRule","Notes"
"Observation","T_AU_OBSERVATION.STATUS, T_AU_OBSERVATION_STATUS","OBSERVATION_STATUS","DRAFT","Draft","10","Map draft/unsubmitted rows to DRAFT.","Initial maker state."
"Observation","pkg_ar.P_SubmitAuditObservationToAuditee","OBSERVATION_STATUS","SUBMITTED_TO_AUDITEE","Submitted to Auditee","20","Translate legacy submitted state and string outputs to normalized lookup.","Confirmed by Notification.cs."
"Observation","T_AU_OBSERVATIONS_AUDITEE_RESPONSE","OBSERVATION_STATUS","AUDITEE_RESPONDED","Auditee Responded","30","Set when auditee response exists and latest state is not closed.","Response-driven state."
"Observation","pkg_hd.P_get_audit_pre_Concluding, pkg_hd.P_Audit_Concluding","OBSERVATION_STATUS","PRE_CONCLUDING","Pre-Concluding","40","Map pre-concluding workflow states.","Used in HD/Execution flows."
"Observation","pkg_hd.P_Audit_Concluding","OBSERVATION_STATUS","CONCLUDED","Concluded","50","Map concluded/finalized observation states.","Observation ready for compliance or final report."
"Observation","T_AU_OBSERVATION.STELLED_ON","OBSERVATION_STATUS","SETTLED","Settled","60","Set where settled_on is present and status is terminal.","Terminal observation state."
"Observation","pkg_ar.P_DropAuditObservation","OBSERVATION_STATUS","DROPPED","Dropped","70","Map dropped/deleted-by-request cases into DROPPED.","Retain workflow event history."
"Observation","pkg_ad.p_audit_observation_reversal","OBSERVATION_STATUS","REVERSED","Reversed","80","Map reversal outcome into REVERSED plus workflow-event record.","Do not overwrite current-state history."
"Compliance","AIS_T_AU_POST_COMPLIANCE.COM_STAGE","COMPLIANCE_STAGE","OPEN","Open","10","Initial compliance case state.","Current case created."
"Compliance","pkg_ae.P_SubmitPostAuditCompliance","COMPLIANCE_STAGE","SUBMITTED","Submitted","20","Branch/auditee submission states normalize to SUBMITTED.","Submission timestamp retained."
"Compliance","pkg_ae.P_SubmitPostAuditCompliance_review","COMPLIANCE_STAGE","UNDER_REVIEW","Under Review","30","Reviewer workflow states normalize to UNDER_REVIEW.","Reviewer actor tracked separately."
"Compliance","pkg_fad.P_authorizechangestatusrequestforsettledpara","COMPLIANCE_STAGE","APPROVED","Approved","40","Authorized/approved compliance actions normalize to APPROVED.","May coexist with compliance status."
"Compliance","AIS_T_AU_POST_COMPLIANCE.COM_STATUS","COMPLIANCE_STATUS","PENDING","Pending","10","Default unresolved status.","Live case not yet completed."
"Compliance","AIS_T_AU_POST_COMPLIANCE.COM_STATUS","COMPLIANCE_STATUS","IN_PROGRESS","In Progress","20","Map active remediation in progress.","Non-terminal."
