"DependencyType","DependencyName","SourceObjects","Status","Evidence","Recommendation"
"Trigger","TRG_M_ENG_BI","M_ENG","ENABLED","Legacy workbook metadata shows 7 column-level references for trigger TRG_M_ENG_BI.","Replicate only when the trigger enforces a business key or sequencing rule not replaced by standardized IAS_ZTBL sequence/trigger patterns."
"Trigger","TRG_T_APP_MAINTENANCE_ONE_ROW","T_APP_MAINTENANCE","ENABLED","Legacy workbook metadata shows 9 column-level references for trigger TRG_T_APP_MAINTENANCE_ONE_ROW.","Replicate only when the trigger enforces a business key or sequencing rule not replaced by standardized IAS_ZTBL sequence/trigger patterns."
"Trigger","TRG_AUDIT_CIRCULAR_ID","T_AUDIT_CHECKLIST_ANNEXURE_CIRCULAR","ENABLED","Legacy workbook metadata shows 11 column-level references for trigger TRG_AUDIT_CIRCULAR_ID.","Replicate only when the trigger enforces a business key or sequencing rule not replaced by standardized IAS_ZTBL sequence/trigger patterns."
"Trigger","TRG_T_AU_API_MASTER_BI","T_AU_API_MASTER","ENABLED","Legacy workbook metadata shows 12 column-level references for trigger TRG_T_AU_API_MASTER_BI.","Replicate only when the trigger enforces a business key or sequencing rule not replaced by standardized IAS_ZTBL sequence/trigger patterns."
"Trigger","TRG_IID_EXC_ACCOUNT","T_AU_IID_EXC_ACCOUNT","ENABLED","Legacy workbook metadata shows 19 column-level references for trigger TRG_IID_EXC_ACCOUNT.","Replicate only when the trigger enforces a business key or sequencing rule not replaced by standardized IAS_ZTBL sequence/trigger patterns."
"Trigger","TRG_IID_EXC_ACCOUNT_DOC","T_AU_IID_EXC_ACCOUNT_DOC","ENABLED","Legacy workbook metadata shows 11 column-level references for trigger TRG_IID_EXC_ACCOUNT_DOC.","Replicate only when the trigger enforces a business key or sequencing rule not replaced by standardized IAS_ZTBL sequence/trigger patterns."
"Trigger","TRG_IID_EXC_ACCOUNT_TXN","T_AU_IID_EXC_ACCOUNT_TXN","ENABLED","Legacy workbook metadata shows 19 column-level references for trigger TRG_IID_EXC_ACCOUNT_TXN.","Replicate only when the trigger enforces a business key or sequencing rule not replaced by standardized IAS_ZTBL sequence/trigger patterns."
"Trigger","TRG_IID_EXC_LOAN","T_AU_IID_EXC_LOAN","ENABLED","Legacy workbook metadata shows 25 column-level references for trigger TRG_IID_EXC_LOAN.","Replicate only when the trigger enforces a business key or sequencing rule not replaced by standardized IAS_ZTBL sequence/trigger patterns."
"Trigger","TRG_IID_EXC_LOAN_DOC","T_AU_IID_EXC_LOAN_DOC","ENABLED","Legacy workbook metadata shows 14 column-level references for trigger TRG_IID_EXC_LOAN_DOC.","Replicate only when the trigger enforces a business key or sequencing rule not replaced by standardized IAS_ZTBL sequence/trigger patterns."
"Trigger","TRG_IID_EXC_LOAN_DOC_IMG","T_AU_IID_EXC_LOAN_DOC_IMG","ENABLED","Legacy workbook metadata shows 6 column-level references for trigger TRG_IID_EXC_LOAN_DOC_IMG.","Replicate only when the trigger enforces a business key or sequencing rule not replaced by standardized IAS_ZTBL sequence/trigger patterns."
"Trigger","TRG_IID_EXC_LOAN_TXN","T_AU_IID_EXC_LOAN_TXN","ENABLED","Legacy workbook metadata shows 21 column-level references for trigger TRG_IID_EXC_LOAN_TXN.","Replicate only when the trigger enforces a business key or sequencing rule not replaced by standardized IAS_ZTBL sequence/trigger patterns."
"Trigger","TRG_IID_EXC_RPT_COL","T_AU_IID_EXC_REPORT_COL_MST","ENABLED","Legacy workbook metadata shows 15 column-level references for trigger TRG_IID_EXC_RPT_COL.","Replicate only when the trigger enforces a business key or sequencing rule not replaced by standardized IAS_ZTBL sequence/trigger patterns."
"Trigger","TRG_IID_EXC_RPT_MST","T_AU_IID_EXC_REPORT_MST","ENABLED","Legacy workbook metadata shows 14 column-level references for trigger TRG_IID_EXC_RPT_MST.","Replicate only when the trigger enforces a business key or sequencing rule not replaced by standardized IAS_ZTBL sequence/trigger patterns."
