"PackageName","ProcedureCall","Modules","Methods","ReadObjects","WriteObjects","ReplacementAction","TargetPackage","ReplacementRationale","TransitionRule"
"PKG_AD","PKG_AD.P_GETALLTOPMENUS","AD","GetAllTopMenus","T_MENU","","wrap","pkg_sec / pkg_admin / pkg_entity","Read-only admin/setup procedures can be wrapped while new IAS_ZTBL tables are phased in.","Expose through an adapter/facade and block new direct controller dependencies."
"PKG_AD","PKG_AD.P_GETALLMENUPAGES","AD","GetAllMenuPages","T_MENU_PAGES","","wrap","pkg_sec / pkg_admin / pkg_entity","Read-only admin/setup procedures can be wrapped while new IAS_ZTBL tables are phased in.","Expose through an adapter/facade and block new direct controller dependencies."
"PKG_AD","PKG_AD.P_GETASSIGNEDMENUPAGES","AD","GetAssignedMenuPages","T_MENU_PAGES; T_MENU_PAGES_GROUPMAP","","wrap","pkg_sec / pkg_admin / pkg_entity","Read-only admin/setup procedures can be wrapped while new IAS_ZTBL tables are phased in.","Expose through an adapter/facade and block new direct controller dependencies."
"PKG_AD","PKG_AD.P_UPDATEALLMENUPAGES","AD","UpdateMenuPagesAssignment","","T_MENU_PAGES","split","pkg_sec + pkg_admin","PKG_AD mixes security, setup, entity, checklist, and reversal logic and should be split by module.","Decompose into module-bound procedures before IAS_ZTBL go-live."
"PKG_AD","PKG_AD.P_GETGROUPS","AD","GetGroups","T_GROUPS","","wrap","pkg_sec / pkg_admin / pkg_entity","Read-only admin/setup procedures can be wrapped while new IAS_ZTBL tables are phased in.","Expose through an adapter/facade and block new direct controller dependencies."
"PKG_AD","PKG_AD.P_ADDGROUP","AD","AddGroup","T_GROUPS","T_GROUPS","split","pkg_sec + pkg_admin","PKG_AD mixes security, setup, entity, checklist, and reversal logic and should be split by module.","Decompose into module-bound procedures before IAS_ZTBL go-live."
"PKG_AD","PKG_AD.P_GROUP_UPDATE","AD","AddGroup","","T_GROUPS","split","pkg_sec + pkg_admin","PKG_AD mixes security, setup, entity, checklist, and reversal logic and should be split by module.","Decompose into module-bound procedures before IAS_ZTBL go-live."
"PKG_AD","PKG_AD.P_GETROLERESPONSIBILITIES","AD","GetHRDesignation; GetRoleResponsibilities","T_HR_DESIGNATIONS","","wrap","pkg_sec / pkg_admin / pkg_entity","Read-only admin/setup procedures can be wrapped while new IAS_ZTBL tables are phased in.","Expose through an adapter/facade and block new direct controller dependencies."
"PKG_AD","PKG_AD.P_GET_ANNEXURE","AD","GetAnnexuresForChecklistDetail","T_AUDIT_CHECKLIST_ANNEXURE; T_AUDIT_CHECKLIST_ANNEXURE_PROCESS; T_RISK; T_AUDITEE_ENTITIES","","wrap","pkg_sec / pkg_admin / pkg_entity","Read-only admin/setup procedures can be wrapped while new IAS_ZTBL tables are phased in.","Expose through an adapter/facade and block new direct controller dependencies."
"PKG_AD","PKG_AD.P_GET_ALLUSERS","AD","GetAllUsers; GetMatchedPPNumbers","V_SERVICE_EMPLOYEEINFO; T_USER; T_EMAIL_ADDRESS; T_AUDITEE_ENTITIES; V_GET_PARENT_OFFICE; T_AUDITEE_ENT_TYPES; T_USER_MAPING; T_GROUPS","","wrap","pkg_sec / pkg_admin / pkg_entity","Read-only admin/setup procedures can be wrapped while new IAS_ZTBL tables are phased in.","Expose through an adapter/facade and block new direct controller dependencies."
"PKG_AD","PKG_AD.P_ADD_NEW_USER","AD","AddNewUser","T_USER_MAPING; T_USER; V_SERVICE_EMPLOYEEINFO; DUAL","T_USER_MAPING; T_USER","split","pkg_sec + pkg_admin","PKG_AD mixes security, setup, entity, checklist, and reversal logic and should be split by module.","Decompose into module-bound procedures before IAS_ZTBL go-live."
"PKG_AD","PKG_AD.P_GET_ENTITY_TYPE","AD","GetAuditEntityTypes","T_AUDITEE_ENT_TYPES","","wrap","pkg_sec / pkg_admin / pkg_entity","Read-only admin/setup procedures can be wrapped while new IAS_ZTBL tables are phased in.","Expose through an adapter/facade and block new direct controller dependencies."
"PKG_AD","PKG_AD.P_GET_AUDITED_BY","AD","GetAuditBy","T_AUDIT_DEPARTMENTS","","wrap","pkg_sec / pkg_admin / pkg_entity","Read-only admin/setup procedures can be wrapped while new IAS_ZTBL tables are phased in.","Expose through an adapter/facade and block new direct controller dependencies."
"PKG_AD","PKG_AD.P_GETAUDITEEENTITYTYPES","AD","GetAuditeeEntities; GetEntityTypeList","T_AUDITEE_ENT_TYPES","","wrap","pkg_sec / pkg_admin / pkg_entity","Read-only admin/setup procedures can be wrapped while new IAS_ZTBL tables are phased in.","Expose through an adapter/facade and block new direct controller dependencies."
"PKG_AD","PKG_AD.P_GETENTITEES_FOR_UPDATE","AD","GetAuditeeEntitiesForUpdate","T_AUDITEE_ENTITIES; T_RISK; T_AUDITEE_ENTITIES_SIZE_DISC; T_AUDITEE_ENTITIES_UPDATE_AZ","","wrap","pkg_sec / pkg_admin / pkg_entity","Read-only admin/setup procedures can be wrapped while new IAS_ZTBL tables are phased in.","Expose through an adapter/facade and block new direct controller dependencies."
"PKG_AD","PKG_AD.P_GETENTITEES_FOR_UPDATE_COMP","AD","GetAuditeeEntitiesForUpdateForAuthorization","T_AUDITEE_ENTITIES_UPDATE_AZ; T_AUDITEE_ENTITIES; T_RISK; T_AUDITEE_ENTITIES_SIZE_DISC","","wrap","pkg_sec / pkg_admin / pkg_entity","Read-only admin/setup procedures can be wrapped while new IAS_ZTBL tables are phased in.","Expose through an adapter/facade and block new direct controller dependencies."
"PKG_AD","PKG_AD.P_GETENTITEES_FOR_UPDATE_AUTHORIZATION","AD","GetAuditeeEntitiesForAuthorization","T_AUDITEE_ENTITIES_UPDATE_AZ; T_AUDITEE_ENTITIES; T_RISK; T_AUDITEE_ENTITIES_SIZE_DISC","","wrap","pkg_sec / pkg_admin / pkg_entity","Read-only admin/setup procedures can be wrapped while new IAS_ZTBL tables are phased in.","Expose through an adapter/facade and block new direct controller dependencies."
"PKG_AD","PKG_AD.P_UPDATE_ENTITIES","AD","UpdateAuditeeEntity","T_AUDITEE_ENTITIES_UPDATE_AZ; T_AUDITEE_ENTITIES; DUAL","T_AUDITEE_ENTITIES_UPDATE_AZ; T_AUDITEE_ENTITIES; TO","split","pkg_admin + pkg_execution + pkg_planning","PKG_AD mixes security, setup, entity, checklist, and reversal logic and should be split by module.","Decompose into module-bound procedures before IAS_ZTBL go-live."
"PKG_AD","PKG_AD.P_GET_AUDITEE_ENTITIES","AD","GetAISEntities","T_AUDITEE_ENTITIES; T_AUDITEE_ENT_TYPES","","wrap","pkg_sec / pkg_admin / pkg_entity","Read-only admin/setup procedures can be wrapped while new IAS_ZTBL tables are phased in.","Expose through an adapter/facade and block new direct controller dependencies."
"PKG_AD","PKG_AD.P_GET_CBAS_ENTITIES","AD","GetCBASEntities","V_GET_CBAS_ENTITIES","","wrap","pkg_sec / pkg_admin / pkg_entity","Read-only admin/setup procedures can be wrapped while new IAS_ZTBL tables are phased in.","Expose through an adapter/facade and block new direct controller dependencies."
"PKG_AD","PKG_AD.P_GET_ERP_ENTITIES","AD","GetERPEntities","DUAL; V_ERP_DEPARTMENTS","","wrap","pkg_sec / pkg_admin / pkg_entity","Read-only admin/setup procedures can be wrapped while new IAS_ZTBL tables are phased in.","Expose through an adapter/facade and block new direct controller dependencies."
"PKG_AD","PKG_AD.P_GET_HR_ENTITIES","AD","GetHREntities; GetHREntitiesForAdminPanelEntityAddition","V_GET_HR_ENTITIES","","wrap","pkg_sec / pkg_admin / pkg_entity","Read-only admin/setup procedures can be wrapped while new IAS_ZTBL tables are phased in.","Expose through an adapter/facade and block new direct controller dependencies."
"PKG_AD","PKG_AD.P_ADDAUDITENTITY","AD","AddAuditEntity","T_AUDITEE_ENT_TYPES","T_AUDITEE_ENT_TYPES","split","pkg_entity + pkg_master","PKG_AD mixes security, setup, entity, checklist, and reversal logic and should be split by module.","Decompose into module-bound procedures before IAS_ZTBL go-live."
