"Domain","CurrentStateTables","HistoryTables","WorkflowEventLogging","ArchiveOnlyData","Notes"
"Security","tbl_user, tbl_role, tbl_permission, tbl_user_session","tbl_release_version_history","tbl_activity_log, tbl_workflow_event","Legacy *_BACKUP security tables","Keep current security state separate from release/version history and operational activity log."
"Entity","tbl_entity_type, tbl_entity, tbl_entity_relation","tbl_entity_size_profile, tbl_entity_risk_profile","tbl_workflow_event","Entity update staging/backups","Entity relationships are current-state; changes in profile attributes should be historized."
"Planning","tbl_audit_period, tbl_audit_plan, tbl_engagement, tbl_engagement_member, tbl_engagement_task, tbl_plan_criteria","tbl_engagement_criteria_history","tbl_workflow_event","T_AU_PLAN_ENG_BACKUP and similar copies","Engagement reversals and approvals should become workflow events, not overwrite rows."
"Observation","tbl_observation, tbl_observation_assignment","tbl_observation_detail, tbl_observation_response, tbl_observation_recommendation, tbl_observation_reference, tbl_observation_evidence","tbl_workflow_event","Dropped/duplicate legacy observation helper tables","Current observation state stays lean; text/response/evidence changes are historized."
"Compliance","tbl_compliance_case, tbl_compliance_action, tbl_compliance_review, tbl_para_case, tbl_para_assignment","tbl_compliance_case_history, tbl_compliance_evidence, tbl_para_case_text, tbl_para_status_history, tbl_para_settlement_history","tbl_workflow_event","Legacy backup/temp compliance tables only","Separate current case state from audit-trace and settlement history."
"IID","tbl_iid_case, tbl_iid_complainant, tbl_iid_investigation_plan, tbl_iid_subject, tbl_iid_statement, tbl_iid_evidence, tbl_iid_report","tbl_iid_analysis, tbl_iid_assessment, tbl_iid_head_review, tbl_iid_proceeding, tbl_iid_record, tbl_iid_violation, tbl_iid_finding, tbl_iid_workflow_history","tbl_workflow_event","None beyond backup/temp exports","IID needs explicit workflow history instead of only current header flags."
"Commercial","tbl_commercial_om, tbl_commercial_pdp, tbl_commercial_arpse","tbl_commercial_pdp_observation, tbl_commercial_arpse_resolution, tbl_commercial_audit_workflow_history","tbl_workflow_event","Legacy PKG_CM-only helper structures","Commercial review cycles should be modeled as workflow history plus DAC/PAC detail."
"Reporting","tbl_report","tbl_report_section, tbl_report_snapshot","tbl_workflow_event","T_FRPT_STAFF_SNAPSHOT_OLD","Report header is current-state; narrative and snapshots are historized/versioned."
"Notification","tbl_notification_event, tbl_notification_template, tbl_notification_rule, tbl_notification_queue","Notification delivery audit in tbl_workflow_event","tbl_workflow_event","Legacy email backup/temp objects only","Queue state is current; delivery attempts should be logged separately."
"Document","tbl_attachment, tbl_attachment_link","Versioned attachments through record_version and workflow events","tbl_workflow_event","Legacy temp file folders only","Do not store repeated file-path columns across business tables."
