"Procedure/Function","Start line","End line","Category","Tables modified","Finding","Severity","Recommendation","Code change required"
"F_OBSERVATION_ENTRY_DATE","715","728","Read-only","-","Read-only cursor/query path; no core observation mutation identified.","Low","Retain behavior; regression-test cursor shape.","No"
"P_GET_AR_DASHBOARD_DROPDOWN","730","758","Read-only","-","Read-only cursor/query path; no core observation mutation identified.","Low","Retain behavior; regression-test cursor shape.","No"
"P_GetTaskList","760","837","Read-only","-","Read-only cursor/query path; no core observation mutation identified.","Low","Retain behavior; regression-test cursor shape.","No"
"AUDIT_JOINING","839","880","Mutating","T_AU_AUDIT_JOINING","Mutating path.","Low","Retain business behavior; verify affected-row handling.","No"
"P_SetEngIdOnHold","882","893","Mutating","T_AU_AUDIT_JOINING;T_AU_PLAN_ENG","Mutating path with 2 internal commits and partial-transaction risk.","Medium","Retain unless in corrected core workflow; plan caller-owned transaction cleanup separately.","No"
"P_GetJoiningDetails","895","941","Read-only","-","Read-only cursor/query path; no core observation mutation identified.","Low","Retain behavior; regression-test cursor shape.","No"
"P_AddJoiningReport","943","1200","Mutating","T_AU_ACTIVITY_LOG;T_AU_AUDIT_JOINING;T_AU_AUDIT_TEAM_TASKLIST;T_AUDITEE_ENTITIES","Mutating path.","Low","Retain business behavior; verify affected-row handling.","No"
"P_ADD_Working_paper_loan","1202","1235","Mutating","T_AU_WORKING_PAPER_LOAN","Mutating path.","Low","Retain business behavior; verify affected-row handling.","No"
"P_GetAuditChecklist","1237","1248","Read-only","-","Read-only cursor/query path; no core observation mutation identified.","Low","Retain behavior; regression-test cursor shape.","No"
"P_GetAuditChecklistCAD","1250","1260","Read-only","-","Read-only cursor/query path; no core observation mutation identified.","Low","Retain behavior; regression-test cursor shape.","No"
"p_GetAuditChecklistSub","1262","1297","Read-only","-","Read-only cursor/query path; no core observation mutation identified.","Low","Retain behavior; regression-test cursor shape.","No"
"P_GetAuditChecklistDetails","1299","1342","Read-only","-","Read-only cursor/query path; no core observation mutation identified.","Low","Retain behavior; regression-test cursor shape.","No"
"P_getauditeecheckklist","1344","1371","Read-only","-","Read-only cursor/query path; no core observation mutation identified.","Low","Retain behavior; regression-test cursor shape.","No"
"P_GetRiskGroup","1373","1379","Read-only","-","Read-only cursor/query path; no core observation mutation identified.","Low","Retain behavior; regression-test cursor shape.","No"
"P_GetRiskSubGroup","1381","1401","Read-only","-","Read-only cursor/query path; no core observation mutation identified.","Low","Retain behavior; regression-test cursor shape.","No"
"p_GetRiskActivities","1403","1423","Read-only","-","Read-only cursor/query path; no core observation mutation identified.","Low","Retain behavior; regression-test cursor shape.","No"
"P_GetAuditVoilationcats","1425","1431","Read-only","-","Read-only cursor/query path; no core observation mutation identified.","Low","Retain behavior; regression-test cursor shape.","No"
"P_GetVoilationSubGroup","1433","1447","Read-only","-","Read-only cursor/query path; no core observation mutation identified.","Low","Retain behavior; regression-test cursor shape.","No"
"P_GetAuditChecklistDetails_search","1449","1469","Read-only","-","Read-only cursor/query path; no core observation mutation identified.","Low","Retain behavior; regression-test cursor shape.","No"
"P_get_employees_information","1471","1482","Read-only","-","Read-only cursor/query path; no core observation mutation identified.","Low","Retain behavior; regression-test cursor shape.","No"
"P_GET_ENB_CIRCULARS","1484","1502","Read-only","-","Read-only cursor/query path; no core observation mutation identified.","Low","Retain behavior; regression-test cursor shape.","No"
"P_SaveAuditObservationCAD","1504","1726","Mutating","T_AU_ACTIVITY_LOG;T_AU_OBSERVATION;T_AU_OBSERVATION_TEXT","Core observation date/status/numbering invariant affected; corrected in Stage 1 body.","Critical","Deploy revised implementation after compilation and regression validation.","Yes"
"P_SaveAuditObservation","1728","1982","Mutating","T_AU_ACTIVITY_LOG;T_AU_OBSERVATION;T_AU_OBSERVATION_TEXT;T_AUDITEE_CHECKKLIST","Core observation date/status/numbering invariant affected; corrected in Stage 1 body.","High","Deploy revised implementation after compilation and regression validation.","Yes"
"P_responibilityassigned","1984","2129","Mutating","T_AU_OBSERVATION_RESPONIBILITY_ASSIGNED;T_AU_RESPONSIBILITY_LOG","Mutating path.","Low","Retain business behavior; verify affected-row handling.","No"
"P_UpdateObservation","2131","2229","Mutating","T_AU_ACTIVITY_LOG;T_AU_OBSERVATION;T_AU_OBSERVATION_TEXT","Mutating path with 6 internal commits and partial-transaction risk.","Medium","Retain unless in corrected core workflow; plan caller-owned transaction cleanup separately.","No"
"P_DropAuditObservation","2231","2303","Mutating","T_AU_ACTIVITY_LOG;T_AU_OBSERVATION","Core observation date/status/numbering invariant affected; corrected in Stage 1 body.","High","Deploy revised implementation after compilation and regression validation.","Yes"
"p_get_auditee_submission_list","2305","2324","Read-only","-","Read-only cursor/query path; no core observation mutation identified.","Low","Retain behavior; regression-test cursor shape.","No"
